Fecha,Cuentas que han realizado al menos un pago,Cuentas que han realizado al menos un cobro
11/06/2020,167424,142915
12/06/2020,169279,144618
13/06/2020,N/E,N/E
14/06/2020,N/E,N/E
15/06/2020,169988,145220
16/06/2020,170659,145787
17/06/2020,171281,146297
18/06/2020,171937,146856
19/06/2020,173637,148320
20/06/2020,N/E,N/E
21/06/2020,N/E,N/E
22/06/2020,174165,148821
23/06/2020,174660,149257
24/06/2020,175194,149728
25/06/2020,175790,150224
26/06/2020,177461,151709
27/06/2020,N/E,N/E
28/06/2020,N/E,N/E
29/06/2020,178068,152223
30/06/2020,178768,152814
01/07/2020,179418,153422
02/07/2020,180166,154047
03/07/2020,181992,155665
04/07/2020,N/E,N/E
05/07/2020,N/E,N/E
06/07/2020,182566,156163
07/07/2020,183119,156633
08/07/2020,183778,157205
09/07/2020,184452,157833
10/07/2020,186467,159632
11/07/2020,N/E,N/E
12/07/2020,N/E,N/E
13/07/2020,187114,160255
14/07/2020,187918,160940
15/07/2020,188829,161722
16/07/2020,189696,162507
17/07/2020,191994,164558
18/07/2020,N/E,N/E
19/07/2020,N/E,N/E
20/07/2020,192791,165273
21/07/2020,193516,165951
22/07/2020,194429,166787
23/07/2020,195467,167688
24/07/2020,197765,169720
25/07/2020,N/E,N/E
26/07/2020,N/E,N/E
27/07/2020,198663,170588
28/07/2020,199590,171552
29/07/2020,200476,172239
30/07/2020,201579,173231
31/07/2020,204608,175549
01/08/2020,N/E,N/E
02/08/2020,N/E,N/E
03/08/2020,205567,176242
04/08/2020,206457,176956
05/08/2020,207420,177703
06/08/2020,208295,178363
07/08/2020,210852,180458
08/08/2020,N/E,N/E
09/08/2020,N/E,N/E
10/08/2020,211632,181083
11/08/2020,212397,181699
12/08/2020,213185,182312
13/08/2020,214072,183082
14/08/2020,216957,185521
15/08/2020,N/E,N/E
16/08/2020,N/E,N/E
17/08/2020,217761,186157
18/08/2020,218655,186875
19/08/2020,219504,187565
20/08/2020,220422,188283
21/08/2020,223085,190454
22/08/2020,N/E,N/E
23/08/2020,N/E,N/E
24/08/2020,223874,191099
25/08/2020,224677,191743
26/08/2020,225434,192371
27/08/2020,226321,193120
28/08/2020,229042,195402
29/08/2020,N/E,N/E
30/08/2020,N/E,N/E
31/08/2020,229870,196072
01/09/2020,230790,196786
02/09/2020,231730,197539
03/09/2020,232696,198336
04/09/2020,235151,200390
05/09/2020,N/E,N/E
06/09/2020,N/E,N/E
07/09/2020,235940,201016
08/09/2020,236725,201638
09/09/2020,237471,202231
10/09/2020,238218,202854
11/09/2020,240563,204791
12/09/2020,N/E,N/E
13/09/2020,N/E,N/E
14/09/2020,241320,205354
15/09/2020,242282,206108
