Fecha,Cuentas que han realizado al menos un pago,Cuentas que han realizado al menos un cobro
20/08/2022,1026833,738305
21/08/2022,1027648,738677
22/08/2022,1028773,739092
23/08/2022,1029832,739473
24/08/2022,1030994,739917
25/08/2022,1032260,740403
26/08/2022,1033817,741028
27/08/2022,1035804,741792
28/08/2022,1036984,742234
29/08/2022,1038368,742803
30/08/2022,1038368,742803
31/08/2022,1039880,743327
01/09/2022,1041428,743941
02/09/2022,1043140,744629
03/09/2022,1044463,745133
04/09/2022,1045241,745536
05/09/2022,1046433,745961
06/09/2022,1047616,746390
07/09/2022,1048780,746841
08/09/2022,1050060,747285
09/09/2022,1051744,747968
10/09/2022,1052933,748413
11/09/2022,1053878,748787
12/09/2022,1055058,749222
13/09/2022,1056328,749668
14/09/2022,1057790,750210
15/09/2022,1059570,750833
16/09/2022,1060663,751332
17/09/2022,1061826,751805
18/09/2022,1062755,752215
19/09/2022,1063923,752680
20/09/2022,1065115,753171
21/09/2022,1066377,753699
22/09/2022,1067729,754306
23/09/2022,1069333,755015
24/09/2022,1070483,755514
25/09/2022,1071452,755898
26/09/2022,1072651,756347
27/09/2022,1073836,756811
28/09/2022,1075126,757319
29/09/2022,1076706,757966
30/09/2022,1078556,758795
01/10/2022,1080016,759383
02/10/2022,1081102,759829
03/10/2022,1082546,760399
04/10/2022,1083828,760943
05/10/2022,1085109,761523
06/10/2022,1086627,762118
07/10/2022,1088387,762860
08/10/2022,1089636,763396
09/10/2022,1090616,763806
10/10/2022,1091883,764278
11/10/2022,1093145,764856
12/10/2022,1094410,765371
13/10/2022,1095945,765976
14/10/2022,1097977,766851
15/10/2022,1099609,767472
16/10/2022,1100826,767953
17/10/2022,1102323,768512
18/10/2022,1103705,769088
19/10/2022,1105151,769643
20/10/2022,1106721,770284
21/10/2022,1108503,771074
22/10/2022,1109760,771597
23/10/2022,1110803,772009
24/10/2022,1112090,772488
25/10/2022,1113300,772996
26/10/2022,1114662,773587
27/10/2022,1116070,774210
28/10/2022,1118061,775075
29/10/2022,1119485,775676
30/10/2022,1120616,776147
31/10/2022,1122059,776683
01/11/2022,1123575,777296
02/11/2022,1124903,777787
03/11/2022,1126462,778398
04/11/2022,1128257,779103
05/11/2022,1129778,779675
06/11/2022,1130857,780014
07/11/2022,1132401,780527
08/11/2022,1133714,781059
09/11/2022,1135146,781681
10/11/2022,1136667,782325
11/11/2022,1138350,783061
12/11/2022,1139717,783596
13/11/2022,1140698,784002
14/11/2022,1142098,784576
15/11/2022,1143855,785280
16/11/2022,1145380,785955
17/11/2022,1147020,786616
18/11/2022,1148825,787353
19/11/2022,1150182,787898
20/11/2022,1151236,788346
21/11/2022,1152245,788728
22/11/2022,1153441,789152
23/11/2022,1154791,789694
24/11/2022,1156217,790328
25/11/2022,1157768,790973
26/11/2022,1158968,791491
27/11/2022,1159947,791860
28/11/2022,1161297,792355
29/11/2022,1162865,792996
30/11/2022,1164734,793625
01/12/2022,1166503,794269
02/12/2022,1168495,795147
03/12/2022,1169974,795774
04/12/2022,1171111,796217
05/12/2022,1172721,796745
06/12/2022,1174228,797186
07/12/2022,1175619,797709
08/12/2022,1177269,798366
09/12/2022,1179042,799079
10/12/2022,1180496,799658
11/12/2022,1181666,800151
12/12/2022,1183080,800651
13/12/2022,1184559,801205
14/12/2022,1186230,801890
15/12/2022,1188176,802688
16/12/2022,1190078,803542
17/12/2022,1192689,803904
18/12/2022,1193898,804390
19/12/2022,1195396,804983
20/12/2022,1196923,805597
21/12/2022,1198449,806198
22/12/2022,1199967,806857
23/12/2022,1201552,807476
24/12/2022,1202755,807856
25/12/2022,1203334,808110
26/12/2022,1204498,808518
27/12/2022,1205647,808933
28/12/2022,1206907,809394
29/12/2022,1208402,809994
30/12/2022,1210204,810558
31/12/2022,1211521,810947
01/01/2023,1212266,811209
02/01/2023,1213826,811665
03/01/2023,1215497,812132
04/01/2023,1217051,812641
05/01/2023,1218884,813287
06/01/2023,1220589,813914
07/01/2023,1221832,814377
08/01/2023,1222838,814736
09/01/2023,1224468,815171
10/01/2023,1226049,815636
11/01/2023,1227513,816127
12/01/2023,1229066,816604
13/01/2023,1231154,817316
14/01/2023,1232536,817836
15/01/2023,1233759,818252
16/01/2023,1235516,818737
