,fecha,total_cuentas_validadas,ABC_capital,banco_actinver,banca_afirme,opciones_empresariales_del_Noreste,banco_autofin_méxico,banco_azteca,banco_del_bajío,banco_nacional_de_méxico,Banco_ahorro_Famsa,bancoppel,banco_bancrea,banco_nacional_del_ejército_fuerza_aérea_y_armada,bankaool,banco_mercantil_del_norte,banco_regional,banco_del_ahorro_nacional_y_servicios_financieros,bansi,banco_base,bbva_bancomer,banco_monex,cibanco,banco_compartamos,consubanco,fundación_dondé_banco,fincomún_servicios_financieros_comunitarios,hsbc_méxico,banco_inbursa,banco_inmobiliario_mexicano,intercam_banco,banco_invex,banca_mifel,banco_multiva,banco_pagatodo,banco_sabadell,banco_santander,scotiabank_inverlat,sistema_de_transferencias_y_pagos_stp,operadora_de_pagos_móviles_de_méxico,banco_ve_por_Mas
30,23/06/2020,15360,0,0,11,3,0,278,2,623,23,821,0,16,0,113,125,0,0,0,12571,0,0,4,0,0,0,328,32,0,0,0,1,0,11,0,289,108,1,0,0
31,24/06/2020,17430,0,0,7,1,0,285,13,643,28,920,0,12,1,101,98,0,0,0,14453,1,0,9,0,0,0,397,35,0,1,0,3,1,12,0,352,53,4,0,0
32,25/06/2020,17335,0,0,19,1,3,302,9,658,21,844,1,12,2,97,116,0,0,0,14266,1,0,4,0,0,1,396,33,0,2,0,1,0,14,1,373,155,2,0,1
33,26/06/2020,17812,0,0,9,1,1,321,8,534,16,934,0,13,1,134,127,0,0,1,14944,0,0,1,0,0,0,296,33,0,2,0,1,0,8,0,375,48,3,0,1
34,27/06/2020,13186,0,0,12,0,0,318,4,551,-2,968,2,10,0,92,110,0,0,0,10359,0,0,3,0,0,0,373,29,0,2,0,1,0,11,0,290,52,0,0,1
35,28/06/2020,8782,0,0,10,0,1,286,2,400,0,815,0,16,0,75,86,0,0,0,6337,0,0,6,0,0,1,398,28,0,0,0,2,0,5,0,254,54,5,0,1
36,29/06/2020,12221,0,1,26,2,1,170,8,412,37,1103,0,8,0,146,121,0,0,0,9822,0,1,3,0,0,-1,-75,41,0,4,0,5,0,8,0,344,30,4,0,0
37,30/06/2020,5443,0,0,43,3,1,201,16,421,28,1199,0,0,0,194,132,0,0,0,2014,0,0,2,1,0,-1,687,22,0,0,0,2,0,5,0,489,-19,3,0,0
38,01/07/2020,15075,0,0,18,2,0,142,11,680,-1518,1078,0,0,2,142,115,0,0,0,13414,2,0,7,0,0,1,507,38,0,2,0,2,0,8,0,380,38,4,0,0
39,02/07/2020,16335,0,0,39,0,1,482,10,613,0,988,2,0,0,162,104,0,0,0,12886,0,2,6,0,0,1,512,29,0,3,0,3,0,6,0,398,86,2,0,0
40,03/07/2020,13824,0,0,31,2,0,464,14,562,0,1027,1,0,2,155,163,0,0,0,10394,0,1,2,0,0,0,496,23,0,4,0,5,0,6,0,407,63,1,0,1
41,04/07/2020,14746,0,0,23,0,1,363,6,558,0,985,0,0,0,91,139,0,0,0,11854,0,0,5,0,0,0,282,29,0,3,0,0,0,4,0,282,118,1,0,2
42,05/07/2020,10362,0,0,14,0,0,312,5,705,0,719,0,0,1,13,71,0,0,0,7962,0,1,4,0,0,0,338,24,0,0,0,2,0,2,0,195,-7,1,0,0
43,06/07/2020,22493,0,0,27,0,2,392,8,4950,0,926,0,0,0,104,117,0,0,0,15140,0,2,2,-1,0,1,368,53,0,1,0,1,0,6,0,378,10,4,0,2
44,07/07/2020,22637,0,0,19,0,0,322,8,6899,0,794,0,0,0,96,108,0,0,0,13568,1,0,7,0,0,0,296,45,0,0,0,0,0,1,0,352,119,2,0,0
45,08/07/2020,34285,0,0,36,0,1,368,7,15828,0,876,0,0,1,120,128,0,0,0,16264,0,1,2,0,0,0,273,27,0,2,0,2,1,3,0,262,75,7,0,1
46,09/07/2020,41212,0,0,42,0,0,385,7,24679,0,878,0,0,0,111,111,0,0,0,14147,0,0,3,1,0,1,306,31,0,2,0,3,0,7,0,361,133,4,0,0
